AQI,Concentration,Date,Health,Location,count
32,7.8,7/8/18,Good,Medford,24
14,3.3,7/8/18,Good,Portland,24
28,6.7,7/7/18,Good,Bend,24
32,7.6,7/7/18,Good,La Grande,24
30,7.2,7/7/18,Good,Medford,24
13,3,7/7/18,Good,Portland,24
38,9.1,7/6/18,Good,Bend,24
37,8.8,7/6/18,Good,La Grande,24
32,7.7,7/6/18,Good,Medford,24
11,2.5,7/6/18,Good,Portland,24
32,7.7,7/5/18,Good,Bend,24
38,9,7/5/18,Good,La Grande,24
44,10.5,7/5/18,Good,Medford,24
38,9.1,7/5/18,Good,Portland,24
30,7.3,7/4/18,Good,Bend,24
36,8.6,7/4/18,Good,La Grande,24
45,10.9,7/4/18,Good,Medford,23
42,10,7/4/18,Good,Portland,24
28,6.7,7/3/18,Good,Bend,24
28,6.7,7/3/18,Good,La Grande,24
31,7.5,7/3/18,Good,Medford,24
19,4.6,7/3/18,Good,Portland,24
35,8.3,7/2/18,Good,Bend,24
27,6.4,7/2/18,Good,La Grande,24
30,7.2,7/2/18,Good,Medford,24
9,2.2,7/2/18,Good,Portland,24
28,6.8,7/1/18,Good,Bend,24
26,6.4,7/1/18,Good,La Grande,24
31,7.3,7/1/18,Good,Medford,24
10,2.3,7/1/18,Good,Portland,24
29,7,6/30/18,Good,Bend,24
28,6.7,6/30/18,Good,La Grande,24
32,7.8,6/30/18,Good,Medford,24
12,2.8,6/30/18,Good,Portland,24
28,6.8,6/29/18,Good,Bend,24
29,6.9,6/29/18,Good,La Grande,24
32,7.8,6/29/18,Good,Medford,24
16,3.8,6/29/18,Good,Portland,24
28,6.8,6/28/18,Good,Bend,24
29,7,6/28/18,Good,La Grande,24
32,7.6,6/28/18,Good,Medford,24
16,3.8,6/28/18,Good,Portland,24
30,7.2,6/27/18,Good,Bend,24
30,7.3,6/27/18,Good,La Grande,24
33,7.9,6/27/18,Good,Medford,24
13,3.2,6/27/18,Good,Portland,24
28,6.8,6/26/18,Good,Bend,24
29,7.1,6/26/18,Good,La Grande,24
31,7.5,6/26/18,Good,Medford,24
13,3.2,6/26/18,Good,Portland,24
29,7,6/25/18,Good,Bend,21
29,7.1,6/25/18,Good,La Grande,24
30,7.3,6/25/18,Good,Medford,24
12,3,6/25/18,Good,Portland,24
45,10.7,6/24/18,Good,Bend,24
